cert_num, spec_num,card_num,variation,date,item,grade,total_pop,total_pop_higher
20765405,101720010,1,,1972,PIRATES TEAM,8,282,83
25087356,101720020,2,,1972,RAY CULP,8,106,37
20797510,101720030,3,,1972,BOB TOLAN,8,146,84
25339815,101720040,4,,1972,CHECKLIST 1-132,8,163,36
20593332,101720050,5,,1972,JOHN BATEMAN,8,111,50
14101385,101720060,6,,1972,FRED SCHERMAN,9,71,7
15483765,101720070,7,,1972,ENZO HERNANDEZ,8.5,6,55
40587791,101720080,8,,1972,RON SWOBODA,8,110,52
30776992,101720090,9,,1972,STAN WILLIAMS,8,143,58
16268864,101720100,10,,1972,AMOS OTIS,8,167,106
19924988,101720110,11,,1972,BOBBY VALENTINE,8,176,91
30870391,101720120,12,,1972,JOSE CARDENAL,8,130,62
21750060,101720130,13,,1972,JOE GRZENDA,8.5,5,51
19448615,101720140,14,,1972,72 PHILLIE ROOKIES,8.5,7,44
21197532,101720150,15,,1972,WALT WILLIAMS,8,137,77
21849718,101720160,16,,1972,MIKE JORGENSON,8,129,48
9152395,101720170,17,,1972,DAVE DUNCAN,8,136,69
40900610,101720180,18,18A,1972,"JUAN PIZARRO GREEN UNDER ""C"" AND ""S""",8,53,18
23654573,101720181,18,18B,1972,"JUAN PIZARRO YELLOW UNDER ""C"" AND ""S""",8,138,69
25520666,101720190,19,,1972,BILLY COWAN,8,147,105
12117259,101720200,20,,1972,DON WILSON,8,162,106
25520672,101720210,21,,1972,BRAVES TEAM,8,235,106
6375221,101720220,22,,1972,ROB GARDNER,8,95,39
14175683,101720230,23,,1972,TED KUBIAK,8,149,74
17272669,101720240,24,,1972,TED FORD,8,121,62
20040327,101720250,25,,1972,BILL SINGER,8,163,82
25520667,101720260,26,,1972,ANDY ETCHEBARREN,8,148,71
11731263,101720270,27,,1972,BOB JOHNSON,9,60,7
22292465,101720280,28,,1972,72 TWINS ROOKIES,8,200,84
21602851,101720290,29,29A,1972,"BILL BONHAM GREEN UNDER ""C"" AND ""S""",8,57,11
31270636,101720291,29,29B,1972,"BILL BONHAM YELLOW UNDER ""C"" AND ""S""",8,129,79
12143067,101720300,30,,1972,RICO PETROCELLI,9,86,11
30221872,101720310,31,,1972,CLEON JONES,9,100,6
25977907,101720320,32,,1972,CLEON JONES IA,8,115,25
16421484,101720330,33,,1972,BILLY MARTIN,8,180,50
17217406,101720340,34,,1972,BILLY MARTIN IA,8,179,56
