card_desc,card_notes,card_player_url,dups,player_id
Adolfo Phillips,,https://www.baseball-almanac.com/players/player.php?p=phillad01,,1
Adrian Devine,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=devinad01,,2
Adrian Garrett,,https://www.baseball-almanac.com/players/player.php?p=garread01,,3
Al Bumbry,,https://www.baseball-almanac.com/players/player.php?p=bumbral01,,4
Al Chambers,1979 First Draft Pick,https://www.baseball-almanac.com/players/player.php?p=chambal01,,5
Al Cowens,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=cowenal01,,6
Al Downing,,https://www.baseball-almanac.com/players/player.php?p=downial01,,7
Al Ferrara,,https://www.baseball-almanac.com/players/player.php?p=ferraal01,,8
Al Fitzmorris,,https://www.baseball-almanac.com/players/player.php?p=fitzmal01,,9
Al Gallagher,,https://www.baseball-almanac.com/players/player.php?p=gallaal01,,10
Al Holland,,https://www.baseball-almanac.com/players/player.php?p=hollaal01,,11
Al Hrabosky,,https://www.baseball-almanac.com/players/player.php?p=hraboal01,,12
Al Jackson,,https://www.baseball-almanac.com/players/player.php?p=jacksal01,,13
Al Jones,,https://www.baseball-almanac.com/players/player.php?p=jonesal02,,14
Al Kaline,,https://www.baseball-almanac.com/players/player.php?p=kalinal01,,15
Al Leiter,,https://www.baseball-almanac.com/players/player.php?p=leiteal01,,16
Al McBean,,https://www.baseball-almanac.com/players/player.php?p=mcbeaal01,,17
Al Newman,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=newmaal01,,18
Al Nipper,,https://www.baseball-almanac.com/players/player.php?p=nippeal01,,19
Al Oliver,,https://www.baseball-almanac.com/players/player.php?p=oliveal01,,20
Al Pardo,,https://www.baseball-almanac.com/players/player.php?p=pardoal01,,21
Al Pedrique,,https://www.baseball-almanac.com/players/player.php?p=pedrial01,,22
Al Santorini,,https://www.baseball-almanac.com/players/player.php?p=santoal01,,23
Al Severinsen,,https://www.baseball-almanac.com/players/player.php?p=several01,,24
Al Spangler,,https://www.baseball-almanac.com/players/player.php?p=spangal01,,25
Al Weis,,https://www.baseball-almanac.com/players/player.php?p=weisal01,,26
Al Williams,,https://www.baseball-almanac.com/players/player.php?p=willial02,,27
Al Woods,,https://www.baseball-almanac.com/players/player.php?p=woodsal01,,28
Alan Ashby,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=ashbyal01,,29
