bills_card_cert,bills_card_spec,bills_card_num,bills_card_year,bills_card_psa_desc,bills_card_grade,bills_card_pop,bills_card_pop_higher,bills_card_stat_year,bills_card_player_id
25145425,101706010,601,1970,PETE RICHERT,9,64,1,1969,2025
20080235,101726490,649,1972,PETE RICHERT,8,112,98,1971,2025
25386558,101725590,559,1972,PETE ROSE,8,767,207,1971,2026
25743366,101725600,560,1972,PETE ROSE IA,8,442,94,1971,2026
18704331,101724720,472,1972,PHIL GAGLIANO,9,60,6,1971,2033
19606446,101727480,748,1972,PHIL HENNIGAN,8,154,101,1971,2035
14604241,101726200,620,1972,PHIL NIEKRO,8,157,34,1971,2039
11420410,101724850,485,1972,PHIL REGAN,8,100,41,1971,2040
23879799,101722010,201,1972,PHIL ROOF,9,106,14,1971,2041
81868860,101726370,637,1972,PRESTON GOMEZ,8,112,60,1971,2044
24337891,101725330,533,1972,RALPH HOUK,8,85,26,1971,2054
19997467,101725120,512,1972,PAUL POPOVICH,8,100,38,1971,2001
23124134,101721770,177,1972,PAUL SCHAAL,8,189,75,1971,2005
90571009,101721780,178,1972,PAUL SCHAAL IA,8,72,17,1971,2005
21691792,101726290,629,1972,PAUL DOYLE,8,134,92,1971,1988
18788162,101723960,396,1972,PAUL LINDBLAD,8,116,55,1971,1994
23238808,101723150,315,1972,PAUL SPLITTORFF,9,65,12,1971,2007
20449103,101720640,64,1972,PETE BROBERG,9,70,14,1971,2015
25520722,101725010,501,1972,PETE HAMM,8,90,35,1971,2018
90396188,101723990,399,1972,MILT WILCOX,9,96,11,1971,1907
19713156,101726270,627,1972,MOE DRABOWSKY,8,102,27,1971,1912
21732395,101722270,227,1972,WORLD SERIES GAME 5,9,115,11,1971,1925
50001381,101725950,595,1972,NOLAN RYAN,9,189,9,1971,1932
18449351,101726050,605,1972,NELSON BRILES,9,83,9,1971,1925
25248914,101721500,150,1972,NORM CASH,8,136,47,1971,1933
25520714,101724660,466,1972,NORM MILLER,8,109,71,1971,1935
15888571,101725510,551,1972,OLLIE BROWN,8,97,71,1971,1941
12218872,101725520,552,1972,OLLIE BROWN IA,8,132,77,1971,1941
25520675,101721950,195,1972,ORLANDO CEPEDA,8,226,78,1971,1946
11191256,101725160,516,1972,OSCAR BROWN,8,78,51,1971,1951
18760711,101724230,423,1972,OSCAR GAMBLE,8,115,103,1971,1952
21753083,101727050,705,1972,PAT CORRALES,9,85,11,1971,1966
40238766,101727060,706,1972,PAT CORRALES IA,8,140,57,1971,1966
6359174,101723260,326,1972,PAT KELLY,9,93,20,1971,1972
21531016,101721400,140,1972,PAT DOBSON,9,75,10,1971,1968
24245237,101726750,675,1972,PAT JARVIS,9,94,17,1971,1970
81482890,101726600,660,1972,PAUL BLAIR,8,157,96,1971,1983
25520725,101725910,591,1972,PAUL CASANOVA,8,121,81,1971,1985
30936084,101722580,258,1972,RANDY HUNDLEY,8,150,78,1971,2065
40083775,101722600,260,1972,RALPH GARR,9,98,8,1971,2053
12143065,101720660,66,1972,RAY CORBIN,9,98,12,1971,2086
25087356,101720020,2,1972,RAY CULP,8,106,37,1971,2087
90072888,101724700,470,1972,RAY FOSSE,8,97,60,1971,2089
15691693,101724220,422,1972,RAY LAMB,8,104,86,1971,2092
22701875,101726670,667,1972,RAY NEWMAN,8,108,65,1971,2094
25520729,101725630,563,1972,RAY SADECKI,8,96,47,1971,2096
90428635,101725640,564,1972,RAY SADECKI IA,8,131,96,1971,2096
21845669,101720670,67,1972,RED SHOENDIENST,8,158,78,1971,2102
28216745,101724350,435,1972,REGGIE JACKSON,9,109,8,1971,2104
20263517,101724360,436,1972,REGGIE JACKSON IA,8,262,100,1971,2104
14258387,101725650,565,1972,REGGIE SMITH,8,167,63,1971,2105
16048217,101725660,566,1972,REGGIE SMITH IA,8,153,66,1971,2105
14930672,101723750,375,1972,REGGIE CLEVELAND,9,103,11,1971,2103
14140497,101720560,56,1972,RICH CHILES,8,133,81,1971,2116
22255878,101722190,219,1972,RENNIE STENNETT,8,141,69,1971,2112
22871710,101723170,317,1972,RICH HAND,8,127,115,1971,2122
90428954,101726190,619,1972,RICH MCKINNEY,8,120,44,1971,2124
14388292,101725930,593,1972,RICH MORALES,8,97,89,1971,2125
25520737,101726110,611,1972,RICH REESE,8,95,103,1971,2128
40238727,101726180,618,1972,RICH ROBERTSON,8,130,129,1971,2129
18519353,101726300,630,1972,RICH HEBNER,9,88,8,1971,2137
81353668,101724680,468,1972,RICHIE SCHEINBLUM,8,142,57,1971,2138
11838151,101721530,153,1972,RICK AUERBACH,8,145,84,1971,2142
23811291,101727780,778,1972,1972 ROOKIE STARS,8,225,76,1971,2149
11639627,101727300,730,1972,RICK MONDAY,8,124,38,1971,2161
31084625,101724590,459,1972,RICK RENICK,9,65,14,1971,2165
6619910,101723450,345,1972,RICK WISE,9,103,23,1971,2177
15691689,101720430,43,1972,RICK WISE,8,142,95,1971,2177
15286581,101720440,44,1972,RICK WISE IA,8,88,43,1971,2177
30221305,101727560,756,1972,RICK WISE TR,8,138,82,1971,2177
11908494,101724620,462,1972,RICKEY CLARK,9,65,11,1971,2178
90290557,101727400,740,1972,RICO CARTY,8,137,42,1971,2186
12143067,101720300,30,1972,RICO PETROCELLI,9,86,11,1971,2187
6375221,101720220,22,1972,ROB GARDNER,8,95,39,1971,2194
22208409,101722260,226,1972,1971 WORLD SERIES,8,399,128,1971,2204
19678349,101723090,309,1972,ROBERTO CLEMENTE,8,1524,468,1971,2204
8003284,101723100,310,1972,ROBERTO CLEMENTE IA,8,566,175,1971,2204
1715994,101726950,695,1972,ROD CAREW,8,504,88,1971,2212
23811353,101726960,696,1972,ROD CAREW IA,8,307,63,1971,2212
17701749,101720690,69,1972,ROGER FREED,8,130,36,1971,2222
20040253,101722170,217,1972,ROGER METZGER,8.5,4,61,1971,2227
21750063,101721130,113,1972,ROGELIO MORET,8.5,9,54,1971,2228
11907339,101725410,541,1972,ROGER REPOZ,9,96,4,1971,2230
11490877,101722410,241,1972,ROLLIE FINGERS,9,123,17,1971,2233
12097013,101722030,203,1972,RON BLOMBERG,9,106,2,1971,2234
21691748,101727730,773,1972,RON BRAND,9,91,14,1971,2235
19593894,101721850,185,1972,RON BRYANT,8,113,61,1971,2236
17759390,101721860,186,1972,RON BRYANT IA,9,93,8,1971,2236
16826927,101723390,339,1972,RON COOK,9,119,31,1971,2239
21750086,101724050,405,1972,RON FAIRLY,8,109,44,1971,2242
16826773,101727630,763,1972,RON HANSEN,8,139,45,1971,2246
25520713,101724690,469,1972,RON HERBEL,8,88,83,1971,2248
23654561,101721100,110,1972,RON HUNT,8,204,162,1971,2250
18451105,101723630,363,1972,RON KLIMKOWSKI,9,75,12,1971,2255
20444086,101723670,367,1972,RON PERRANOSKI,8.5,7,110,1971,2259
24583994,101727870,787,1972,RON REED,8,132,47,1971,2261
25520717,101725550,555,1972,RON SANTO,8,223,126,1971,2265
81353648,101725560,556,1972,RON SANTO IA,8,144,53,1971,2265
