card_year,card_num,card_stat_year,card_desc,card_notes,card_player_url,card_player_id,,,
1970,666,1969,Adolfo Phillips,,https://www.baseball-almanac.com/players/player.php?p=phillad01,1,,Adolfo Phillipshttps://www.baseball-almanac.com/players/player.php?p=phillad01,
1974,614,1973,Adrian Devine,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=devinad01,2,,Adrian Devinehttps://www.baseball-almanac.com/players/player.php?p=devinad01,
1974,656,1973,Adrian Garrett,,https://www.baseball-almanac.com/players/player.php?p=garread01,3,,Adrian Garretthttps://www.baseball-almanac.com/players/player.php?p=garread01,
1974,137,1973,Al Bumbry,,https://www.baseball-almanac.com/players/player.php?p=bumbral01,4,,Al Bumbryhttps://www.baseball-almanac.com/players/player.php?p=bumbral01,
1985,277,1984,Al Chambers,1979 First Draft Pick,https://www.baseball-almanac.com/players/player.php?p=chambal01,5,,Al Chambershttps://www.baseball-almanac.com/players/player.php?p=chambal01,
1975,437,1974,Al Cowens,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=cowenal01,6,,Al Cowenshttps://www.baseball-almanac.com/players/player.php?p=cowenal01,
1970,584,1969,Al Downing,,https://www.baseball-almanac.com/players/player.php?p=downial01,7,,Al Downinghttps://www.baseball-almanac.com/players/player.php?p=downial01,
1970,345,1969,Al Ferrara,,https://www.baseball-almanac.com/players/player.php?p=ferraal01,8,,Al Ferrarahttps://www.baseball-almanac.com/players/player.php?p=ferraal01,
1971,564,1970,Al Fitzmorris,,https://www.baseball-almanac.com/players/player.php?p=fitzmal01,9,,Al Fitzmorrishttps://www.baseball-almanac.com/players/player.php?p=fitzmal01,
1971,224,1970,Al Gallagher,,https://www.baseball-almanac.com/players/player.php?p=gallaal01,10,,Al Gallagherhttps://www.baseball-almanac.com/players/player.php?p=gallaal01,
1981,213,1980,Al Holland,,https://www.baseball-almanac.com/players/player.php?p=hollaal01,11,,Al Hollandhttps://www.baseball-almanac.com/players/player.php?p=hollaal01,
1974,108,1973,Al Hrabosky,,https://www.baseball-almanac.com/players/player.php?p=hraboal01,12,,Al Hraboskyhttps://www.baseball-almanac.com/players/player.php?p=hraboal01,
1970,443,1969,Al Jackson,,https://www.baseball-almanac.com/players/player.php?p=jacksal01,13,,Al Jacksonhttps://www.baseball-almanac.com/players/player.php?p=jacksal01,
1985,437,1984,Al Jones,,https://www.baseball-almanac.com/players/player.php?p=jonesal02,14,,Al Joneshttps://www.baseball-almanac.com/players/player.php?p=jonesal02,
1970,640,1969,Al Kaline,,https://www.baseball-almanac.com/players/player.php?p=kalinal01,15,,Al Kalinehttps://www.baseball-almanac.com/players/player.php?p=kalinal01,
1988,18,1987,Al Leiter,,https://www.baseball-almanac.com/players/player.php?p=leiteal01,16,,Al Leiterhttps://www.baseball-almanac.com/players/player.php?p=leiteal01,
1970,641,1969,Al McBean,,https://www.baseball-almanac.com/players/player.php?p=mcbeaal01,17,,Al McBeanhttps://www.baseball-almanac.com/players/player.php?p=mcbeaal01,
1987,323,1986,Al Newman,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=newmaal01,18,,Al Newmanhttps://www.baseball-almanac.com/players/player.php?p=newmaal01,
1985,424,1984,Al Nipper,,https://www.baseball-almanac.com/players/player.php?p=nippeal01,19,,Al Nipperhttps://www.baseball-almanac.com/players/player.php?p=nippeal01,
1970,166,1969,Al Oliver,,https://www.baseball-almanac.com/players/player.php?p=oliveal01,20,,Al Oliverhttps://www.baseball-almanac.com/players/player.php?p=oliveal01,
1986,279,1985,Al Pardo,,https://www.baseball-almanac.com/players/player.php?p=pardoal01,21,,Al Pardohttps://www.baseball-almanac.com/players/player.php?p=pardoal01,
1988,294,1987,Al Pedrique,,https://www.baseball-almanac.com/players/player.php?p=pedrial01,22,,Al Pedriquehttps://www.baseball-almanac.com/players/player.php?p=pedrial01,
1970,212,1969,Al Santorini,,https://www.baseball-almanac.com/players/player.php?p=santoal01,23,,Al Santorinihttps://www.baseball-almanac.com/players/player.php?p=santoal01,
1972,274,1971,Al Severinsen,,https://www.baseball-almanac.com/players/player.php?p=several01,24,,Al Severinsenhttps://www.baseball-almanac.com/players/player.php?p=several01,
1970,714,1969,Al Spangler,,https://www.baseball-almanac.com/players/player.php?p=spangal01,25,,Al Spanglerhttps://www.baseball-almanac.com/players/player.php?p=spangal01,
1970,498,1969,Al Weis,,https://www.baseball-almanac.com/players/player.php?p=weisal01,26,,Al Weishttps://www.baseball-almanac.com/players/player.php?p=weisal01,
1982,69,1981,Al Williams,,https://www.baseball-almanac.com/players/player.php?p=willial02,27,,Al Williamshttps://www.baseball-almanac.com/players/player.php?p=willial02,
1978,121,1977,Al Woods,,https://www.baseball-almanac.com/players/player.php?p=woodsal01,28,,Al Woodshttps://www.baseball-almanac.com/players/player.php?p=woodsal01,
1976,209,1975,Alan Ashby,Rookie Card,https://www.baseball-almanac.com/players/player.php?p=ashbyal01,29,,Alan Ashbyhttps://www.baseball-almanac.com/players/player.php?p=ashbyal01,
1977,559,1976,Alan Bannister,,https://www.baseball-almanac.com/players/player.php?p=bannial01,30,,Alan Bannisterhttps://www.baseball-almanac.com/players/player.php?p=bannial01,
1970,369,1969,Alan Foster,,https://www.baseball-almanac.com/players/player.php?p=fosteal01,31,,Alan Fosterhttps://www.baseball-almanac.com/players/player.php?p=fosteal01,
1983,543,1982,Alan Fowlkes,,https://www.baseball-almanac.com/players/player.php?p=fowlkal01,32,,Alan Fowlkeshttps://www.baseball-almanac.com/players/player.php?p=fowlkal01,
1983,117,1982,Alan Knicely,,https://www.baseball-almanac.com/players/player.php?p=kniceal01,33,,Alan Knicelyhttps://www.baseball-almanac.com/players/player.php?p=kniceal01,
1979,358,1978,Alan Trammell,,https://www.baseball-almanac.com/players/player.php?p=trammal01,34,,Alan Trammellhttps://www.baseball-almanac.com/players/player.php?p=trammal01,
1983,251,1982,Alan Wiggins,,https://www.baseball-almanac.com/players/player.php?p=wiggial01,35,,Alan Wigginshttps://www.baseball-almanac.com/players/player.php?p=wiggial01,
1985,676,1984,Albert Hall,,https://www.baseball-almanac.com/players/player.php?p=hallal02,36,,Albert Hallhttps://www.baseball-almanac.com/players/player.php?p=hallal02,
1981,569,1980,Albert Williams,,https://www.baseball-almanac.com/players/player.php?p=willial03,37,,Albert Williamshttps://www.baseball-almanac.com/players/player.php?p=willial03,
1984,324,1983,Alejandro Pena,,https://www.baseball-almanac.com/players/player.php?p=penaal01,38,,Alejandro Penahttps://www.baseball-almanac.com/players/player.php?p=penaal01,
