card_year,card_num,card_stat_year,card_desc,card_notes,card_player_id
1970,666,1969,Adolfo Phillips,,1
1971,418,1970,Adolfo Phillips,,1
1974,614,1973,Adrian Devine,Rookie Card,2
1977,339,1976,Adrian Devine,,2
1978,92,1977,Adrian Devine,,2
1979,257,1978,Adrian Devine,,2
1980,528,1979,Adrian Devine,,2
1981,464,1980,Adrian Devine,,2
1974,656,1973,Adrian Garrett,,3
1976,562,1975,Adrian Garrett,,3
1974,137,1973,Al Bumbry,,4
1975,358,1974,Al Bumbry,,4
1976,307,1975,Al Bumbry,,4
1977,626,1976,Al Bumbry,,4
1978,188,1977,Al Bumbry,,4
1979,517,1978,Al Bumbry,,4
1980,65,1979,Al Bumbry,,4
1981,425,1980,Al Bumbry,,4
1982,265,1981,Al Bumbry,,4
1983,655,1982,Al Bumbry,,4
1984,319,1983,Al Bumbry,,4
1985,726,1984,Al Bumbry,,4
1986,583,1985,Al Bumbry,,4
1985,277,1984,Al Chambers,1979 First Draft Pick,5
1975,437,1974,Al Cowens,Rookie Card,6
1976,648,1975,Al Cowens,,6
1977,262,1976,Al Cowens,,6
1978,46,1977,Al Cowens,,6
1979,490,1978,Al Cowens,,6
1980,330,1979,Al Cowens,,6
1981,123,1980,Al Cowens,,6
1982,575,1981,Al Cowens,,6
1983,763,1982,Al Cowens,,6
1984,622,1983,Al Cowens,,6
1985,224,1984,Al Cowens,,6
1986,92,1985,Al Cowens,,6
1970,584,1969,Al Downing,,7
1971,182,1970,Al Downing,,7
1972,460,1971,Al Downing,,7
1973,460,1972,Al Downing,,7
1974,620,1973,Al Downing,,7
1975,498,1974,Al Downing,,7
1976,605,1975,Al Downing,,7
1970,345,1969,Al Ferrara,,8
1971,214,1970,Al Ferrara,,8
1971,564,1970,Al Fitzmorris,,9
1972,349,1971,Al Fitzmorris,,9
1973,349,1972,Al Fitzmorris,,9
1974,191,1973,Al Fitzmorris,,9
1975,24,1974,Al Fitzmorris,,9
1976,144,1975,Al Fitzmorris,,9
1977,449,1976,Al Fitzmorris,,9
1978,227,1977,Al Fitzmorris,,9
1979,638,1978,Al Fitzmorris,,9
1971,224,1970,Al Gallagher,,10
1972,693,1971,Al Gallagher,,10
1972,694,1971,Al Gallagher,In Action,10
1973,693,1972,Al Gallagher,,10
1973,694,1972,Al Gallagher,In Action,10
1981,213,1980,Al Holland,,11
1982,406,1981,Al Holland,,11
1983,58,1982,Al Holland,,11
1984,564,1983,Al Holland,,11
1985,185,1984,Al Holland,,11
1986,369,1985,Al Holland,,11
1974,108,1973,Al Hrabosky,,12
1975,122,1974,Al Hrabosky,,12
1976,315,1975,Al Hrabosky,,12
1977,495,1976,Al Hrabosky,,12
1978,230,1977,Al Hrabosky,,12
1979,45,1978,Al Hrabosky,,12
1980,585,1979,Al Hrabosky,,12
1981,636,1980,Al Hrabosky,,12
1982,393,1981,Al Hrabosky,,12
1970,443,1969,Al Jackson,,13
1985,437,1984,Al Jones,,14
1986,227,1985,Al Jones,,14
1970,640,1969,Al Kaline,,15
1971,180,1970,Al Kaline,,15
1972,600,1971,Al Kaline,,15
1973,600,1972,Al Kaline,,15
1974,215,1973,Al Kaline,,15
1975,4,1974,Al Kaline,'74 Highlights,15
1988,18,1987,Al Leiter,,16
1989,659,1988,Al Leiter,,16
1970,641,1969,Al McBean,,17
1987,323,1986,Al Newman,Rookie Card,18
1988,648,1987,Al Newman,,18
1989,503,1988,Al Newman,,18
1985,424,1984,Al Nipper,,19
1986,181,1985,Al Nipper,,19
1987,617,1986,Al Nipper,,19
1988,326,1987,Al Nipper,,19
1989,86,1988,Al Nipper,,19
1970,166,1969,Al Oliver,,20
1971,388,1970,Al Oliver,,20
1972,575,1971,Al Oliver,,20
1973,575,1972,Al Oliver,,20
1974,52,1973,Al Oliver,,20
1975,555,1974,Al Oliver,,20
1976,620,1975,Al Oliver,,20
1977,130,1976,Al Oliver,,20
1978,430,1977,Al Oliver,,20
1979,391,1978,Al Oliver,,20
1980,260,1979,Al Oliver,,20
1981,70,1980,Al Oliver,,20
1982,590,1981,Al Oliver,,20
1982,591,1981,Al Oliver,,20
1983,420,1982,Al Oliver,,20
1983,421,1982,Al Oliver,Super Veteran,20
1984,620,1983,Al Oliver,,20
1985,130,1984,Al Oliver,,20
1986,775,1985,Al Oliver,,20
1986,279,1985,Al Pardo,,21
1988,294,1987,Al Pedrique,,22
1989,566,1988,Al Pedrique,,22
1970,212,1969,Al Santorini,,23
1971,467,1970,Al Santorini,,23
1972,723,1971,Al Santorini,,23
1973,723,1972,Al Santorini,,23
1972,274,1971,Al Severinsen,,24
1973,274,1972,Al Severinsen,,24
1970,714,1969,Al Spangler,,25
1970,498,1969,Al Weis,,26
1971,751,1970,Al Weis,,26
1982,69,1981,Al Williams,,27
1983,731,1982,Al Williams,,27
1985,614,1984,Al Williams,,27
1978,121,1977,Al Woods,,28
1979,178,1978,Al Woods,,28
1980,444,1979,Al Woods,,28
