player_name,player_firstname,player_middlename,player_lastname,player_suffix,player_nickname,player_url,player_id_load
Adolfo Phillips,Adolfo,,Phillips,,,https://www.baseball-almanac.com/players/player.php?p=phillad01,1
Adrian Devine,Adrian,,Devine,,,https://www.baseball-almanac.com/players/player.php?p=devinad01,2
Adrian Garrett,Adrian,,Garrett,,,https://www.baseball-almanac.com/players/player.php?p=garread01,3
Al Bumbry,Al,,Bumbry,,,https://www.baseball-almanac.com/players/player.php?p=bumbral01,4
Al Chambers,Al,,Chambers,,,https://www.baseball-almanac.com/players/player.php?p=chambal01,5
Al Cowens,Al,,Cowens,,,https://www.baseball-almanac.com/players/player.php?p=cowenal01,6
Al Downing,Al,,Downing,,,https://www.baseball-almanac.com/players/player.php?p=downial01,7
Al Ferrara,Al,,Ferrara,,,https://www.baseball-almanac.com/players/player.php?p=ferraal01,8
Al Fitzmorris,Al,,Fitzmorris,,,https://www.baseball-almanac.com/players/player.php?p=fitzmal01,9
Al Gallagher,Al,,Gallagher,,,https://www.baseball-almanac.com/players/player.php?p=gallaal01,10
Al Holland,Al,,Holland,,,https://www.baseball-almanac.com/players/player.php?p=hollaal01,11
Al Hrabosky,Al,,Hrabosky,,,https://www.baseball-almanac.com/players/player.php?p=hraboal01,12
Al Jackson,Al,,Jackson,,,https://www.baseball-almanac.com/players/player.php?p=jacksal01,13
Al Jones,Al,,Jones,,,https://www.baseball-almanac.com/players/player.php?p=jonesal02,14
Al Kaline,Al,,Kaline,,,https://www.baseball-almanac.com/players/player.php?p=kalinal01,15
Al Leiter,Al,,Leiter,,,https://www.baseball-almanac.com/players/player.php?p=leiteal01,16
Al McBean,Al,,McBean,,,https://www.baseball-almanac.com/players/player.php?p=mcbeaal01,17
Al Newman,Al,,Newman,,,https://www.baseball-almanac.com/players/player.php?p=newmaal01,18
Al Nipper,Al,,Nipper,,,https://www.baseball-almanac.com/players/player.php?p=nippeal01,19
Al Oliver,Al,,Oliver,,,https://www.baseball-almanac.com/players/player.php?p=oliveal01,20
Al Pardo,Al,,Pardo,,,https://www.baseball-almanac.com/players/player.php?p=pardoal01,21
Al Pedrique,Al,,Pedrique,,,https://www.baseball-almanac.com/players/player.php?p=pedrial01,22
Al Santorini,Al,,Santorini,,,https://www.baseball-almanac.com/players/player.php?p=santoal01,23
Al Severinsen,Al,,Severinsen,,,https://www.baseball-almanac.com/players/player.php?p=several01,24
Al Spangler,Al,,Spangler,,,https://www.baseball-almanac.com/players/player.php?p=spangal01,25
Al Weis,Al,,Weis,,,https://www.baseball-almanac.com/players/player.php?p=weisal01,26
Al Williams,Al,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willial02,27
Al Woods,Al,,Woods,,,https://www.baseball-almanac.com/players/player.php?p=woodsal01,28
Alan Ashby,Alan,,Ashby,,,https://www.baseball-almanac.com/players/player.php?p=ashbyal01,29
Alan Bannister,Alan,,Bannister,,,https://www.baseball-almanac.com/players/player.php?p=bannial01,30
Alan Foster,Alan,,Foster,,,https://www.baseball-almanac.com/players/player.php?p=fosteal01,31
Alan Fowlkes,Alan,,Fowlkes,,,https://www.baseball-almanac.com/players/player.php?p=fowlkal01,32
Alan Knicely,Alan,,Knicely,,,https://www.baseball-almanac.com/players/player.php?p=kniceal01,33
Alan Trammell,Alan,,Trammell,,,https://www.baseball-almanac.com/players/player.php?p=trammal01,34
Alan Wiggins,Alan,,Wiggins,,,https://www.baseball-almanac.com/players/player.php?p=wiggial01,35
Albert Hall,Albert,,Hall,,,https://www.baseball-almanac.com/players/player.php?p=hallal02,36
Albert Williams,Albert,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willial03,37
Alejandro Pena,Alejandro,,Pena,,,https://www.baseball-almanac.com/players/player.php?p=penaal01,38
Alejandro Sanchez,Alejandro,,Sanchez,,,https://www.baseball-almanac.com/players/player.php?p=sanchal01,39
Alex Johnson,Alex,,Johnson,,,https://www.baseball-almanac.com/players/player.php?p=johnsal01,40
Alex Trevino,Alex,,Trevino,,,https://www.baseball-almanac.com/players/player.php?p=trevial01,41
Alf Anderson,Alf,,Anderson,,,https://www.baseball-almanac.com/players/player.php?p=anderal01,42
Alfonso Pulido,Alfonso,,Pulido,,,https://www.baseball-almanac.com/players/player.php?p=pulidal01,43
Alfredo Griffin,Alfredo,,Griffin,,,https://www.baseball-almanac.com/players/player.php?p=griffal01,44
Allan Anderson,Allan,,Anderson,,,https://www.baseball-almanac.com/players/player.php?p=anderal02,45
Allan Ramirez,Allan,,Ramirez,,,https://www.baseball-almanac.com/players/player.php?p=ramiral01,46
Allen Ripley,Allen,,Ripley,,,https://www.baseball-almanac.com/players/player.php?p=ripleal01,47
Alvaro Espinoza,Alvaro,,Espinoza,,,https://www.baseball-almanac.com/players/player.php?p=espinal01,48
Alvin Dark,Alvin,,Dark,,,https://www.baseball-almanac.com/players/player.php?p=darkal01,49
Alvin Davis,Alvin,,Davis,,,https://www.baseball-almanac.com/players/player.php?p=davisal01,50
Amos Otis,Amos,,Otis,,,https://www.baseball-almanac.com/players/player.php?p=otisam01,51
