player_name,first_name,middle_name,last_name,nick_name,suffix,player_url,player_id
Adolfo Phillips,Adolfo,NULL,Phillips,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=phillad01,1
Adrian Devine,Adrian,NULL,Devine,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=devinad01,2
Adrian Garrett,Adrian,NULL,Garrett,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=garread01,3
Al Bumbry,Al,NULL,Bumbry,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bumbral01,4
Al Chambers,Al,NULL,Chambers,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=chambal01,5
Al Cowens,Al,NULL,Cowens,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=cowenal01,6
Al Downing,Al,NULL,Downing,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=downial01,7
Al Ferrara,Al,NULL,Ferrara,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=ferraal01,8
Al Fitzmorris,Al,NULL,Fitzmorris,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=fitzmal01,9
Al Gallagher,Al,NULL,Gallagher,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=gallaal01,10
Al Holland,Al,NULL,Holland,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hollaal01,11
Al Hrabosky,Al,NULL,Hrabosky,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hraboal01,12
Al Jackson,Al,NULL,Jackson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=jacksal01,13
Al Jones,Al,NULL,Jones,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=jonesal02,14
Al Kaline,Al,NULL,Kaline,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=kalinal01,15
Al Leiter,Al,NULL,Leiter,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=leiteal01,16
Al McBean,Al,NULL,McBean,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=mcbeaal01,17
Al Newman,Al,NULL,Newman,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=newmaal01,18
Al Nipper,Al,NULL,Nipper,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=nippeal01,19
Al Oliver,Al,NULL,Oliver,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=oliveal01,20
Al Pardo,Al,NULL,Pardo,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=pardoal01,21
Al Pedrique,Al,NULL,Pedrique,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=pedrial01,22
Al Santorini,Al,NULL,Santorini,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=santoal01,23
Al Severinsen,Al,NULL,Severinsen,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=several01,24
Al Spangler,Al,NULL,Spangler,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=spangal01,25
Al Weis,Al,NULL,Weis,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=weisal01,26
Al Williams,Al,NULL,Williams,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=willial02,27
Al Woods,Al,NULL,Woods,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=woodsal01,28
Alan Ashby,Alan,NULL,Ashby,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=ashbyal01,29
Alan Bannister,Alan,NULL,Bannister,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=bannial01,30
Alan Foster,Alan,NULL,Foster,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=fosteal01,31
Alan Fowlkes,Alan,NULL,Fowlkes,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=fowlkal01,32
Alan Knicely,Alan,NULL,Knicely,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=kniceal01,33
Alan Trammell,Alan,NULL,Trammell,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=trammal01,34
Alan Wiggins,Alan,NULL,Wiggins,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=wiggial01,35
Albert Hall,Albert,NULL,Hall,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=hallal02,36
Albert Williams,Albert,NULL,Williams,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=willial03,37
Alejandro Pena,Alejandro,NULL,Pena,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=penaal01,38
Alejandro Sanchez,Alejandro,NULL,Sanchez,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=sanchal01,39
Alex Grammas,Alex,NULL,Grammas,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=grammal01,40
Alex Johnson,Alex,NULL,Johnson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=johnsal01,41
Alex Trevino,Alex,NULL,Trevino,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=trevial01,42
Alf Anderson,Alf,NULL,Anderson,NULL,NULL,https://www.baseball-almanac.com/players/player.php?p=anderal01,43
