player_name,first_name,middle_name,last_name,nick_name,suffix,player_url
Adolfo Phillips,Adolfo,,Phillips,,,https://www.baseball-almanac.com/players/player.php?p=phillad01
Adrian Devine,Adrian,,Devine,,,https://www.baseball-almanac.com/players/player.php?p=devinad01
Adrian Garrett,Adrian,,Garrett,,,https://www.baseball-almanac.com/players/player.php?p=garread01
Al Bumbry,Al,,Bumbry,,,https://www.baseball-almanac.com/players/player.php?p=bumbral01
Al Chambers,Al,,Chambers,,,https://www.baseball-almanac.com/players/player.php?p=chambal01
Al Cowens,Al,,Cowens,,,https://www.baseball-almanac.com/players/player.php?p=cowenal01
Al Downing,Al,,Downing,,,https://www.baseball-almanac.com/players/player.php?p=downial01
Al Ferrara,Al,,Ferrara,,,https://www.baseball-almanac.com/players/player.php?p=ferraal01
Al Fitzmorris,Al,,Fitzmorris,,,https://www.baseball-almanac.com/players/player.php?p=fitzmal01
Al Gallagher,Al,,Gallagher,,,https://www.baseball-almanac.com/players/player.php?p=gallaal01
Al Holland,Al,,Holland,,,https://www.baseball-almanac.com/players/player.php?p=hollaal01
Al Hrabosky,Al,,Hrabosky,,,https://www.baseball-almanac.com/players/player.php?p=hraboal01
Al Jackson,Al,,Jackson,,,https://www.baseball-almanac.com/players/player.php?p=jacksal01
Al Jones,Al,,Jones,,,https://www.baseball-almanac.com/players/player.php?p=jonesal02
Al Kaline,Al,,Kaline,,,https://www.baseball-almanac.com/players/player.php?p=kalinal01
Al Leiter,Al,,Leiter,,,https://www.baseball-almanac.com/players/player.php?p=leiteal01
Al McBean,Al,,McBean,,,https://www.baseball-almanac.com/players/player.php?p=mcbeaal01
Al Newman,Al,,Newman,,,https://www.baseball-almanac.com/players/player.php?p=newmaal01
Al Nipper,Al,,Nipper,,,https://www.baseball-almanac.com/players/player.php?p=nippeal01
Al Oliver,Al,,Oliver,,,https://www.baseball-almanac.com/players/player.php?p=oliveal01
Al Pardo,Al,,Pardo,,,https://www.baseball-almanac.com/players/player.php?p=pardoal01
Al Pedrique,Al,,Pedrique,,,https://www.baseball-almanac.com/players/player.php?p=pedrial01
Al Santorini,Al,,Santorini,,,https://www.baseball-almanac.com/players/player.php?p=santoal01
Al Severinsen,Al,,Severinsen,,,https://www.baseball-almanac.com/players/player.php?p=several01
Al Spangler,Al,,Spangler,,,https://www.baseball-almanac.com/players/player.php?p=spangal01
Al Weis,Al,,Weis,,,https://www.baseball-almanac.com/players/player.php?p=weisal01
Al Williams,Al,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willial02
Al Woods,Al,,Woods,,,https://www.baseball-almanac.com/players/player.php?p=woodsal01
Alan Ashby,Alan,,Ashby,,,https://www.baseball-almanac.com/players/player.php?p=ashbyal01
Alan Bannister,Alan,,Bannister,,,https://www.baseball-almanac.com/players/player.php?p=bannial01
Alan Foster,Alan,,Foster,,,https://www.baseball-almanac.com/players/player.php?p=fosteal01
Alan Fowlkes,Alan,,Fowlkes,,,https://www.baseball-almanac.com/players/player.php?p=fowlkal01
Alan Knicely,Alan,,Knicely,,,https://www.baseball-almanac.com/players/player.php?p=kniceal01
Alan Trammell,Alan,,Trammell,,,https://www.baseball-almanac.com/players/player.php?p=trammal01
Alan Wiggins,Alan,,Wiggins,,,https://www.baseball-almanac.com/players/player.php?p=wiggial01
Albert Hall,Albert,,Hall,,,https://www.baseball-almanac.com/players/player.php?p=hallal02
Albert Williams,Albert,,Williams,,,https://www.baseball-almanac.com/players/player.php?p=willial03
Alejandro Pena,Alejandro,,Pena,,,https://www.baseball-almanac.com/players/player.php?p=penaal01
Alejandro Sanchez,Alejandro,,Sanchez,,,https://www.baseball-almanac.com/players/player.php?p=sanchal01
Alex Grammas,Alex,,Grammas,,,https://www.baseball-almanac.com/players/player.php?p=grammal01
Alex Johnson,Alex,,Johnson,,,https://www.baseball-almanac.com/players/player.php?p=johnsal01
Alex Trevino,Alex,,Trevino,,,https://www.baseball-almanac.com/players/player.php?p=trevial01
Alf Anderson,Alf,,Anderson,,,https://www.baseball-almanac.com/players/player.php?p=anderal01
Alfonso Pulido,Alfonso,,Pulido,,,https://www.baseball-almanac.com/players/player.php?p=pulidal01
Alfredo Griffin,Alfredo,,Griffin,,,https://www.baseball-almanac.com/players/player.php?p=griffal01
Allan Anderson,Allan,,Anderson,,,https://www.baseball-almanac.com/players/player.php?p=anderal02
Allan Ramirez,Allan,,Ramirez,,,https://www.baseball-almanac.com/players/player.php?p=ramiral01
Allen Ripley,Allen,,Ripley,,,https://www.baseball-almanac.com/players/player.php?p=ripleal01
Alvaro Espinoza,Alvaro,,Espinoza,,,https://www.baseball-almanac.com/players/player.php?p=espinal01
Alvin Dark,Alvin,,Dark,,,https://www.baseball-almanac.com/players/player.php?p=darkal01
Alvin Davis,Alvin,,Davis,,,https://www.baseball-almanac.com/players/player.php?p=davisal01
Amos Otis,Amos,,Otis,,,https://www.baseball-almanac.com/players/player.php?p=otisam01
Andre David,Andre,,David,,,https://www.baseball-almanac.com/players/player.php?p=davidan01
Andre Dawson,Andre,,Dawson,,,https://www.baseball-almanac.com/players/player.php?p=dawsoan01
Andre Robertson,Andre,,Robertson,,,https://www.baseball-almanac.com/players/player.php?p=roberan01
Andre Thornton,Andre,,Thornton,,,https://www.baseball-almanac.com/players/player.php?p=thornan01
Andres Galarraga,Andres,,Galarraga,,,https://www.baseball-almanac.com/players/player.php?p=galaran01
Andres Mora,Andres,,Mora,,,https://www.baseball-almanac.com/players/player.php?p=moraan01
Andres Thomas,Andres,,Thomas,,,https://www.baseball-almanac.com/players/player.php?p=thomaan01
Andy Allanson,Andy,,Allanson,,,https://www.baseball-almanac.com/players/player.php?p=allanan01
Andy Benes,Andy,,Benes,,,https://www.baseball-almanac.com/players/player.php?p=benesan01
Andy Etchebarren,Andy,,Etchebarren,,,https://www.baseball-almanac.com/players/player.php?p=etchean01
Andy Hassler,Andy,,Hassler,,,https://www.baseball-almanac.com/players/player.php?p=hasslan01
Andy Hawkins,Andy,,Hawkins,,,https://www.baseball-almanac.com/players/player.php?p=hawkian01
Andy Kosco,Andy,,Kosco,,,https://www.baseball-almanac.com/players/player.php?p=koscoan01
Andy McGaffigan,Andy,,McGaffigan,,,https://www.baseball-almanac.com/players/player.php?p=mcgafan01
Andy Messersmith,Andy,,Messersmith,,,https://www.baseball-almanac.com/players/player.php?p=messean01
Andy Replogle,Andy,,Replogle,,,https://www.baseball-almanac.com/players/player.php?p=reploan01
Andy Rincon,Andy,,Rincon,,,https://www.baseball-almanac.com/players/player.php?p=rincoan01
Andy Van Slyke,Andy,,Van Slyke,,,https://www.baseball-almanac.com/players/player.php?p=vanslan01
Angel Bravo,Angel,,Bravo,,,https://www.baseball-almanac.com/players/player.php?p=bravoan01
Angel Mangual,Angel,,Mangual,,,https://www.baseball-almanac.com/players/player.php?p=manguan01
Angel Salazar,Angel,,Salazar,,,https://www.baseball-almanac.com/players/player.php?p=salazan01
Archie Reynolds,Archie,,Reynolds,,,https://www.baseball-almanac.com/players/player.php?p=reynoar01
Art Howe,Art,,Howe,,,https://www.baseball-almanac.com/players/player.php?p=howear01
Art Shamsky,Art,,Shamsky,,,https://www.baseball-almanac.com/players/player.php?p=shamsar01
Atlee Hammaker,Atlee,,Hammaker,,,https://www.baseball-almanac.com/players/player.php?p=hammaat01
Aurelio Lopez,Aurelio,,Lopez,,,https://www.baseball-almanac.com/players/player.php?p=lopezau01
Aurelio Monteagudo,Aurelio,,Monteagudo,,,https://www.baseball-almanac.com/players/player.php?p=monteau01
Aurelio Rodriguez,Aurelio,,Rodriguez,,,https://www.baseball-almanac.com/players/player.php?p=rodriau01
B.J. Surhoff,B.J.,,Surhoff,,,https://www.baseball-almanac.com/players/player.php?p=surhob01
Babe Ruth,Babe,,Ruth,,,https://www.baseball-almanac.com/players/player.php?p=ruthba01
Bake McBride,Bake,,McBride,,,https://www.baseball-almanac.com/players/player.php?p=mcbriba01
Balor Moore,Balor,,Moore,,,https://www.baseball-almanac.com/players/player.php?p=mooreba02
Barbaro Garbey,Barbaro,,Garbey,,,https://www.baseball-almanac.com/players/player.php?p=garbeba01
Barry Bonds,Barry,,Bonds,,,https://www.baseball-almanac.com/players/player.php?p=bondsba01
Barry Bonnell,Barry,,Bonnell,,,https://www.baseball-almanac.com/players/player.php?p=bonneba01
Barry Evans,Barry,,Evans,,,https://www.baseball-almanac.com/players/player.php?p=evansba01
Barry Foote,Barry,,Foote,,,https://www.baseball-almanac.com/players/player.php?p=footeba01
Barry Jones,Barry,,Jones,,,https://www.baseball-almanac.com/players/player.php?p=jonesba01
Barry Larkin,Barry,,Larkin,,,https://www.baseball-almanac.com/players/player.php?p=larkiba01
Barry Lersch,Barry,,Lersch,,,https://www.baseball-almanac.com/players/player.php?p=lerscba01
Barry Lyons,Barry,,Lyons,,,https://www.baseball-almanac.com/players/player.php?p=lyonsba01
Barry Moore,Barry,,Moore,,,https://www.baseball-almanac.com/players/player.php?p=mooreba01
Bart Johnson,Bart,,Johnson,,,https://www.baseball-almanac.com/players/player.php?p=johnsba01
Ben Hayes,Ben,,Hayes,,,https://www.baseball-almanac.com/players/player.php?p=hayesbe01
Ben Oglivie,Ben,,Oglivie,,,https://www.baseball-almanac.com/players/player.php?p=oglivbe01
Benito Santiago,Benito,,Santiago,,,https://www.baseball-almanac.com/players/player.php?p=santibe01
Benny Ayala,Benny,,Ayala,,,https://www.baseball-almanac.com/players/player.php?p=ayalabe01
Benny Distefano,Benny,,Distefano,,,https://www.baseball-almanac.com/players/player.php?p=distebe01
Bernie Allen,Bernie,,Allen,,,https://www.baseball-almanac.com/players/player.php?p=allenbe01
Bernie Carbo,Bernie,,Carbo,,,https://www.baseball-almanac.com/players/player.php?p=carbobe01
Bert Blyleven,Bert,,Blyleven,,,https://www.baseball-almanac.com/players/player.php?p=blylebe01
Bert Campaneris,Bert,,Campaneris,,,https://www.baseball-almanac.com/players/player.php?p=campabe01
Bert Roberge,Bert,,Roberge,,,https://www.baseball-almanac.com/players/player.php?p=roberbe01
Biff Pocoroba,Biff,,Pocoroba,,,https://www.baseball-almanac.com/players/player.php?p=pocorbi01
Bill Almon,Bill,,Almon,,,https://www.baseball-almanac.com/players/player.php?p=almonbi01
Bill Atkinson,Bill,,Atkinson,,,https://www.baseball-almanac.com/players/player.php?p=atkinbi01
Bill Bean,Bill,,Bean,,,https://www.baseball-almanac.com/players/player.php?p=beanbi01
Bill Bonham,Bill,,Bonham,,,https://www.baseball-almanac.com/players/player.php?p=bonhabi01
Bill Buckner,Bill,,Buckner,,,https://www.baseball-almanac.com/players/player.php?p=bucknbi01
Bill Burbach,Bill,,Burbach,,,https://www.baseball-almanac.com/players/player.php?p=burbabi01
Bill Butler,Bill,,Butler,,,https://www.baseball-almanac.com/players/player.php?p=butlebi01
Bill Campbell,Bill,,Campbell,,,https://www.baseball-almanac.com/players/player.php?p=campbbi02
Bill Castro,Bill,,Castro,,,https://www.baseball-almanac.com/players/player.php?p=castrbi01
Bill Caudill,Bill,,Caudill,,,https://www.baseball-almanac.com/players/player.php?p=caudibi01
Bill Champion,Bill,,Champion,,,https://www.baseball-almanac.com/players/player.php?p=champbi01
Bill Dawley,Bill,,Dawley,,,https://www.baseball-almanac.com/players/player.php?p=dawlebi01
Bill Dillman,Bill,,Dillman,,,https://www.baseball-almanac.com/players/player.php?p=dillmbi01
Bill Doran,Bill,,Doran,,,https://www.baseball-almanac.com/players/player.php?p=doranbi01
Bill Fahey,Bill,,Fahey,,,https://www.baseball-almanac.com/players/player.php?p=faheybi01
Bill Freehan,Bill,,Freehan,,,https://www.baseball-almanac.com/players/player.php?p=freehbi01
Bill Gardner,Bill,,Gardner,,,https://www.baseball-almanac.com/players/player.php?p=gardnbi01
Bill Gogolewski,Bill,,Gogolewski,,,https://www.baseball-almanac.com/players/player.php?p=gogolbi01
Bill Greif,Bill,,Greif,,,https://www.baseball-almanac.com/players/player.php?p=greifbi01
Bill Gullickson,Bill,,Gullickson,,,https://www.baseball-almanac.com/players/player.php?p=gullibi01
Bill Hands,Bill,,Hands,,,https://www.baseball-almanac.com/players/player.php?p=handsbi01
Bill Heath,Bill,,Heath,,,https://www.baseball-almanac.com/players/player.php?p=heathbi01
Bill Krueger,Bill,,Krueger,,,https://www.baseball-almanac.com/players/player.php?p=kruegbi01
Bill Landrum,Bill,,Landrum,,,https://www.baseball-almanac.com/players/player.php?p=landrbi01
Bill Laskey,Bill,,Laskey,,,https://www.baseball-almanac.com/players/player.php?p=laskebi01
Bill Laxton,Bill,,Laxton,,,https://www.baseball-almanac.com/players/player.php?p=laxtobi01
Bill Lee,Bill,,Lee,,,https://www.baseball-almanac.com/players/player.php?p=leebi02
Bill Long,Bill,,Long,,,https://www.baseball-almanac.com/players/player.php?p=longbi01
Bill Madlock,Bill,,Madlock,,,https://www.baseball-almanac.com/players/player.php?p=madlobi01
Bill Mazeroski,Bill,,Mazeroski,,,https://www.baseball-almanac.com/players/player.php?p=mazerbi01
Bill Melton,Bill,,Melton,,,https://www.baseball-almanac.com/players/player.php?p=meltobi01
Bill Mooneyham,Bill,,Mooneyham,,,https://www.baseball-almanac.com/players/player.php?p=moonebi01
Bill Nahorodny,Bill,,Nahorodny,,,https://www.baseball-almanac.com/players/player.php?p=nahorbi01
Bill North,Bill,,North,,,https://www.baseball-almanac.com/players/player.php?p=northbi01
Bill Parsons,Bill,,Parsons,,,https://www.baseball-almanac.com/players/player.php?p=parsobi01
Bill Pecota,Bill,,Pecota,,,https://www.baseball-almanac.com/players/player.php?p=pecotbi01
Bill Plummer,Bill,,Plummer,,,https://www.baseball-almanac.com/players/player.php?p=plummbi01
Bill Rigney,Bill,,Rigney,,,https://www.baseball-almanac.com/players/player.php?p=rignebi01
Bill Robinson,Bill,,Robinson,,,https://www.baseball-almanac.com/players/player.php?p=robinbi02
Bill Russell,Bill,,Russell,,,https://www.baseball-almanac.com/players/player.php?p=russebi01
Bill Scherrer,Bill,,Scherrer,,,https://www.baseball-almanac.com/players/player.php?p=scherbi01
Bill Schroeder,Bill,,Schroeder,,,https://www.baseball-almanac.com/players/player.php?p=schrobi01
Bill Sharp,Bill,,Sharp,,,https://www.baseball-almanac.com/players/player.php?p=sharpbi01
Bill Singer,Bill,,Singer,,,https://www.baseball-almanac.com/players/player.php?p=singebi01
Bill Stein,Bill,,Stein,,,https://www.baseball-almanac.com/players/player.php?p=steinbi02
Bill Stoneman,Bill,,Stoneman,,,https://www.baseball-almanac.com/players/player.php?p=stonebi01
Bill Sudakis,Bill,,Sudakis,,,https://www.baseball-almanac.com/players/player.php?p=sudakbi01
Bill Swaggerty,Bill,,Swaggerty,,,https://www.baseball-almanac.com/players/player.php?p=swaggbi01
Bill Swift,Bill,,Swift,,,https://www.baseball-almanac.com/players/player.php?p=swiftbi02
Bill Travers,Bill,,Travers,,,https://www.baseball-almanac.com/players/player.php?p=travebi01
Bill Virdon,Bill,,Virdon,,,https://www.baseball-almanac.com/players/player.php?p=virdobi01
Bill Voss,Bill,,Voss,,,https://www.baseball-almanac.com/players/player.php?p=vossbi01
Bill Wegman,Bill,,Wegman,,,https://www.baseball-almanac.com/players/player.php?p=wegmabi01
Bill Wilkinson,Bill,,Wilkinson,,,https://www.baseball-almanac.com/players/player.php?p=wilkibi01
Bill Wilson,Bill,,Wilson,,,https://www.baseball-almanac.com/players/player.php?p=wilsobi03
Bill Zepp,Bill,,Zepp,,,https://www.baseball-almanac.com/players/player.php?p=zeppbi01
Billy Beane,Billy,,Beane,,,https://www.baseball-almanac.com/players/player.php?p=beanebi01
Billy Campbell,Billy,,Campbell,,,https://www.baseball-almanac.com/players/player.php?p=campbbi01
Billy Conigliaro,Billy,,Conigliaro,,,https://www.baseball-almanac.com/players/player.php?p=conigbi01
Billy Cowan,Billy,,Cowan,,,https://www.baseball-almanac.com/players/player.php?p=cowanbi01
Billy Gardner,Billy,,Gardner,,,https://www.baseball-almanac.com/players/player.php?p=gardnbi02
Billy Grabarkewitz,Billy,,Grabarkewitz,,,https://www.baseball-almanac.com/players/player.php?p=grababi01
